Year,LocationAbbr,LocationDesc,GeographicLevel,DataSource,Class,Topic,Data_Value,Data_Value_Unit,Data_Value_Type,Data_Value_Footnote_Symbol,Data_Value_Footnote,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,TopicID,LocationID,Y_lat,X_lon,Georeference
2020,WY,Wyoming,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, 3-year Average Rate",~,Insufficient Data,Sex,Overall,Race/Ethnicity,More than one race,T2,56,42.9984,-107.552,POINT (-107.552 42.9984)
2020,WY,Wyoming,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, 3-year Average Rate",~,Insufficient Data,Sex,Female,Race/Ethnicity,American Indian or Alaska Native,T2,56,42.9984,-107.552,POINT (-107.552 42.9984)
2020,WY,Wyoming,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,311.6,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Sex,Male,Race/Ethnicity,Hispanic,T2,56,42.9984,-107.552,POINT (-107.552 42.9984)
2020,WY,Wyoming,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, 3-year Average Rate",~,Insufficient Data,Sex,Overall,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,T2,56,42.9984,-107.552,POINT (-107.552 42.9984)
2020,WY,Wyoming,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,212.9,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Hispanic,T2,56,42.9984,-107.552,POINT (-107.552 42.9984)
2020,WY,Wyoming,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, 3-year Average Rate",~,Insufficient Data,Sex,Female,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,T2,56,42.9984,-107.552,POINT (-107.552 42.9984)
2020,IA,Clarke County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Overall,Race/Ethnicity,Black,T2,19039,41.03144446,-93.79051493,POINT (-93.79051493 41.03144446)
2020,AL,Jefferson County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,34.1,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,More than one race,T2,01073,33.55790924,-86.89670879,POINT (-86.89670879 33.55790924)
2020,FL,Suwannee County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,248.1,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Hispanic,T2,12121,30.2003965,-82.98588322,POINT (-82.98588322 30.2003965)
2020,AK,Fairbanks North Star,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Male,Race/Ethnicity,More than one race,T2,02090,64.80931944,-146.5842931,POINT (-146.5842931 64.80931944)
2020,IA,Humboldt County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,379.6,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,White,T2,19091,42.78021118,-94.21630777,POINT (-94.21630777 42.78021118)
2020,ID,Custer County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Male,Race/Ethnicity,Hispanic,T2,16037,44.23204473,-114.2749043,POINT (-114.2749043 44.23204473)
2020,ID,Gooding County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Female,Race/Ethnicity,Black,T2,16047,42.96182654,-114.8004477,POINT (-114.8004477 42.96182654)
2020,AL,Lauderdale County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,319.8,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Female,Race/Ethnicity,Overall,T2,01077,34.90669792,-87.64884345,POINT (-87.64884345 34.90669792)
2020,AK,Kenai Peninsula,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,182.4,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Female,Race/Ethnicity,Overall,T2,02122,60.19326297,-150.2807443,POINT (-150.2807443 60.19326297)
2020,GA,Telfair County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,339.9,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Male,Race/Ethnicity,Black,T2,13271,31.9266004,-82.93790805,POINT (-82.93790805 31.9266004)
2020,ID,Madison County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,520.2,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Male,Race/Ethnicity,White,T2,16065,43.77934736,-111.6472369,POINT (-111.6472369 43.77934736)
2020,IA,Van Buren County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Male,Race/Ethnicity,More than one race,T2,19177,40.75225003,-91.95407728,POINT (-91.95407728 40.75225003)
2020,CA,Merced County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,525.7,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Male,Race/Ethnicity,American Indian or Alaska Native,T2,06047,37.18702646,-120.7044101,POINT (-120.7044101 37.18702646)
2020,CA,Santa Clara County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,261.1,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Female,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,T2,06085,37.22731917,-121.6833781,POINT (-121.6833781 37.22731917)
2020,CO,Broomfield County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,138.2,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,More than one race,T2,08014,39.95155951,-105.060153,POINT (-105.060153 39.95155951)
2020,CA,Del Norte County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Overall,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,T2,06015,41.74004868,-123.890022,POINT (-123.890022 41.74004868)
2020,IA,Shelby County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Male,Race/Ethnicity,American Indian or Alaska Native,T2,19165,41.68467953,-95.31734349,POINT (-95.31734349 41.68467953)
2020,GA,Columbia County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,190.9,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Female,Race/Ethnicity,Overall,T2,13073,33.54922862,-82.26803171,POINT (-82.26803171 33.54922862)
2020,GA,Grady County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Female,Race/Ethnicity,American Indian or Alaska Native,T2,13131,30.87681982,-84.22831529,POINT (-84.22831529 30.87681982)
2020,GA,Brooks County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Overall,Race/Ethnicity,More than one race,T2,13027,30.84144612,-83.57755981,POINT (-83.57755981 30.84144612)
2020,AL,Bullock County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Male,Race/Ethnicity,More than one race,T2,01011,32.10607183,-85.71598,POINT (-85.71598 32.10607183)
2020,FL,Pinellas County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,354.2,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Male,Race/Ethnicity,Overall,T2,12103,27.93788108,-82.72564761,POINT (-82.72564761 27.93788108)
2020,AR,Union County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,394,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Female,Race/Ethnicity,Black,T2,05139,33.17402915,-92.58676045,POINT (-92.58676045 33.17402915)
2020,IA,Harrison County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,308.4,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Overall,T2,19085,41.68477197,-95.82033071,POINT (-95.82033071 41.68477197)
2020,FL,Santa Rosa County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,319.9,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Female,Race/Ethnicity,Black,T2,12113,30.73238824,-87.01244177,POINT (-87.01244177 30.73238824)
2020,CA,Lassen County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,266.9,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Female,Race/Ethnicity,American Indian or Alaska Native,T2,06035,40.66935811,-120.5898736,POINT (-120.5898736 40.66935811)
2020,AL,Winston County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,609.6,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Female,Race/Ethnicity,Black,T2,01133,34.1559448,-87.37349988,POINT (-87.37349988 34.1559448)
2020,AL,Calhoun County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Female,Race/Ethnicity,American Indian or Alaska Native,T2,01015,33.7763701,-85.82537579,POINT (-85.82537579 33.7763701)
2020,IA,Sac County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Overall,Race/Ethnicity,More than one race,T2,19161,42.38533803,-95.11442298,POINT (-95.11442298 42.38533803)
2020,CA,Plumas County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,235.5,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Asian,T2,06063,40.00212063,-120.8386478,POINT (-120.8386478 40.00212063)
2020,CA,San Benito County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,367,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,T2,06069,36.60584124,-121.061087,POINT (-121.061087 36.60584124)
2020,AL,Mobile County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,625.1,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Male,Race/Ethnicity,White,T2,01097,30.80013086,-88.21002606,POINT (-88.21002606 30.80013086)
2020,GA,Liberty County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,328,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Female,Race/Ethnicity,Overall,T2,13179,31.83551023,-81.50295571,POINT (-81.50295571 31.83551023)
2020,AR,Desha County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,503.4,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Black,T2,05041,33.83682196,-91.24537972,POINT (-91.24537972 33.83682196)
2020,CO,Adams County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Female,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,T2,08001,39.86744683,-104.3345838,POINT (-104.3345838 39.86744683)
2020,ID,Power County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Female,Race/Ethnicity,Asian,T2,16077,42.68935361,-112.8322812,POINT (-112.8322812 42.68935361)
2020,IA,Linn County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Overall,Race/Ethnicity,American Indian or Alaska Native,T2,19113,42.07503445,-91.60245387,POINT (-91.60245387 42.07503445)
2020,GA,Pike County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,274.2,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Female,Race/Ethnicity,Overall,T2,13231,33.09098499,-84.38664209,POINT (-84.38664209 33.09098499)
2020,FL,Osceola County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,125.7,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Female,Race/Ethnicity,Asian,T2,12097,28.05810564,-81.14897019,POINT (-81.14897019 28.05810564)
2020,AR,Phillips County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,293.3,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,White,T2,05107,34.4379144,-90.84274214,POINT (-90.84274214 34.4379144)
2020,GA,Toombs County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Overall,Race/Ethnicity,More than one race,T2,13279,32.1174335,-82.32930512,POINT (-82.32930512 32.1174335)
2020,IA,Clay County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Male,Race/Ethnicity,More than one race,T2,19041,43.08307071,-95.16053673,POINT (-95.16053673 43.08307071)
2020,CO,Washington County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,256.1,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Overall,T2,08121,39.96472833,-103.1982017,POINT (-103.1982017 39.96472833)
2020,GA,Coffee County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Female,Race/Ethnicity,More than one race,T2,13069,31.54884267,-82.8506822,POINT (-82.8506822 31.54884267)
2020,AR,Drew County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Female,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,T2,05043,33.58936991,-91.7101268,POINT (-91.7101268 33.58936991)
2020,GA,Hancock County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,465.1,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Female,Race/Ethnicity,Black,T2,13141,33.27260243,-82.99831753,POINT (-82.99831753 33.27260243)
2020,AS,American Samoa County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Overall,Race/Ethnicity,American Indian or Alaska Native,T2,60000,-14.30175426,-170.7194738,POINT (-170.7194738 -14.30175426)
2020,IA,Lee County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Female,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,T2,19111,40.64181909,-91.48384626,POINT (-91.48384626 40.64181909)
2020,AL,Tuscaloosa County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Overall,Race/Ethnicity,American Indian or Alaska Native,T2,01125,33.29756476,-87.51989995,POINT (-87.51989995 33.29756476)
2020,FL,Brevard County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,217,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Male,Race/Ethnicity,Hispanic,T2,12009,28.25861943,-80.74865569,POINT (-80.74865569 28.25861943)
2020,ID,Bannock County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,453.5,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Male,Race/Ethnicity,Overall,T2,16005,42.6674748,-112.2166773,POINT (-112.2166773 42.6674748)
2020,AL,Madison County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,80.5,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Female,Race/Ethnicity,Hispanic,T2,01089,34.76510106,-86.54728071,POINT (-86.54728071 34.76510106)
2020,AS,American Samoa,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, 3-year Average Rate",~,Insufficient Data,Sex,Male,Race/Ethnicity,Overall,T2,60,-14.2766,-170.367,POINT (-170.367 -14.2766)
2020,AR,Garland County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,537.4,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Male,Race/Ethnicity,Overall,T2,05051,34.5802186,-93.14398988,POINT (-93.14398988 34.5802186)
2020,FL,Columbia County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,114.8,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Asian,T2,12023,30.22383408,-82.61861824,POINT (-82.61861824 30.22383408)
2020,IA,Pottawattamie County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,106.7,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Asian,T2,19155,41.3395348,-95.54831385,POINT (-95.54831385 41.3395348)
